country,admin_name,lat,lng,population
China,Liaoning,41.8050,123.4500,4787000
Sudan,Khartoum,15.5881,32.5342,4754000
India,Mahārāshtra,18.5300,73.8500,4672000
United States,Massachusetts,42.3188,-71.0846,4637537.0
Australia,New South Wales,-33.9200,151.1852,4630000
Russia,Sankt-Peterburg,59.9390,30.3160,4553000
Bangladesh,Chittagong,22.3300,91.8000,4529000
China,Guangdong,23.0489,113.7447,4528000
Saudi Arabia,Ar Riyāḑ,24.6408,46.7727,4465000
Vietnam,Hà Nội,21.0333,105.8500,4378000
Mexico,Jalisco,20.6700,-103.3300,4198000
Australia,Victoria,-37.8200,144.9750,4170000
Egypt,Al Iskandarīyah,31.2000,29.9500,4165000
China,Sichuan,30.6700,104.0700,4123000
Burma,Yangon,16.7834,96.1667,4088000
United States,Arizona,33.5722,-112.0891,4081849.0
China,Shaanxi,34.2750,108.8950,4009000
Brazil,Rio Grande do Sul,-30.0500,-51.2000,3917000
India,Gujarāt,21.2000,72.8400,3842000
China,Guangxi,23.0965,109.6091,3830000
Côte D’Ivoire,Abidjan,5.3200,-4.0400,3802000
Brazil,Distrito Federal,-15.7833,-47.9161,3716996
Turkey,Ankara,39.9272,32.8644,3716000
Mexico,Nuevo León,25.6700,-100.3300,3712000
Japan,Kanagawa,35.3200,139.5800,3697894
China,Jiangsu,32.0500,118.7800,3679000
Canada,Québec,45.5000,-73.5833,3678000
China,Guizhou,26.5800,106.7200,3662000
Brazil,Pernambuco,-8.0756,-34.9156,3651000
United States,Washington,47.6211,-122.3244,3643765.0
China,Heilongjiang,45.7500,126.6500,3621000
United States,California,37.7562,-122.4430,3603761.0
Brazil,Ceará,-3.7500,-38.5800,3602319
China,Fujian,24.5204,117.6700,3531147
United States,Michigan,42.3834,-83.1024,3522206.0
Brazil,Bahia,-12.9700,-38.4800,3484000
"Korea, South",Busan,35.0951,129.0100,3480000
South Africa,Gauteng,-26.1700,28.0300,3435000
Germany,Berlin,52.5218,13.4015,3406000
Algeria,Alger,36.7631,3.0506,3354000
Italy,Lazio,41.8960,12.4833,3339000
"Korea, North",P’yŏngyang,39.0194,125.7547,3300000
Colombia,Antioquia,6.2750,-75.5750,3297000
Afghanistan,Kābul,34.5167,69.1833,3277000
Greece,Attikí,37.9833,23.7333,3242000
Japan,Aichi,35.1550,136.9150,3230000
South Africa,Western Cape,-33.9200,18.4350,3215000
United States,California,32.8312,-117.1225,3210314.0
China,Jilin,43.8650,125.3400,3183000
Morocco,Casablanca-Settat,33.6000,-7.6164,3181000
China,Liaoning,38.9228,121.6298,3167000
India,Uttar Pradesh,26.4600,80.3200,3162000
Nigeria,Kano,12.0000,8.5200,3140000
Israel,Tel Aviv,32.0800,34.7700,3112000
Ethiopia,Ādīs Ābeba,9.0333,38.7000,3100000
Brazil,Paraná,-25.4200,-49.3200,3084000
China,Shandong,36.8000,118.0500,3061000
Saudi Arabia,Makkah al Mukarramah,21.5169,39.2192,3012000
Kenya,Nairobi City,-1.2833,36.8167,3010000
China,Zhejiang,30.2500,120.1700,3007000
South Africa,Gauteng,-26.1496,28.3299,2986000
Venezuela,Distrito Capital,10.5010,-66.9170,2985000
Italy,Lombardy,45.4700,9.2050,2945000
Germany,Baden-Württemberg,48.7800,9.2000,2944700
China,Yunnan,25.0700,102.6800,2931000
Tanzania,Dar es Salaam,-6.8000,39.2683,2930000
United States,Minnesota,44.9635,-93.2678,2926757.0
India,Rājasthān,26.9211,75.8100,2917000
China,Shanxi,37.8750,112.5451,2913000
Germany,Hesse,50.1000,8.6750,2895000
China,Shandong,36.0900,120.3300,2866000
Indonesia,Jawa Timur,-7.2492,112.7508,2845000
Portugal,Lisboa,38.7227,-9.1449,2812000
United States,Florida,27.9942,-82.4451,2804240.0
China,Shandong,36.6750,116.9950,2798000
Japan,Fukuoka,33.5950,130.4100,2792000
Brazil,São Paulo,-22.9000,-47.1000,2791000
United States,Colorado,39.7621,-104.8759,2787266.0
Taiwan,Kaohsiung,22.6333,120.2666,2769072
Philippines,Quezon,14.6504,121.0300,2761720
Poland,Śląskie,50.2604,19.0200,2746000
Syria,Ḩalab,36.2300,37.1700,2738000
South Africa,KwaZulu-Natal,-29.8650,30.9800,2729000
Ukraine,"Kyyiv, Misto",50.4334,30.5166,2709000
India,Uttar Pradesh,26.8550,80.9150,2695000
Egypt,Al Jīzah,30.0100,31.1900,2681863
China,Henan,34.7550,113.6651,2636000
Taiwan,Taichung,24.1521,120.6817,2629323
United States,New York,40.6501,-73.9496,2629150
Nigeria,Oyo,7.3800,3.9300,2628000
Pakistan,Punjab,31.4100,73.1100,2617000
China,Fujian,26.0800,119.3000,2606000
China,Hunan,28.2000,112.9700,2604000
Senegal,Dakar,14.7158,-17.4731,2604000
Turkey,İzmir,38.4361,27.1518,2587000
China,Hunan,27.8504,112.9000,2586948
China,Gansu,36.0560,103.7920,2561000
"Korea, South",Incheon,37.4761,126.6422,2550000
Japan,Hokkaidō,43.0750,141.3400,2544000
China,Fujian,24.4500,118.0800,2519000
Ecuador,Guayas,-2.2200,-79.9200,2514000
Malaysia,Pulau Pinang,5.4136,100.3294,2500000
Iran,Khorāsān-e Raẕavī,36.2700,59.5700,2469000
Syria,Dimashq,33.5000,36.3000,2466000
"Korea, South",Daegu,35.8668,128.6070,2460000
India,Mahārāshtra,21.1700,79.0900,2454000
China,Liaoning,40.7503,120.8300,2426000
China,Hebei,38.0500,114.4800,2417000
Tunisia,Tunis,36.8028,10.1797,2412500
Austria,Wien,48.2000,16.3666,2400000
China,Jilin,43.8500,126.5500,2396000
Sudan,Khartoum,15.6167,32.4800,2395159
Indonesia,Jawa Barat,-6.9500,107.5700,2394000
Indonesia,Jawa Barat,-6.2173,106.9723,2378211
Germany,Baden-Württemberg,49.5004,8.4700,2362000
China,Jiangxi,28.6800,115.8800,2350000
China,Zhejiang,28.0200,120.6501,2350000
United States,New York,40.7498,-73.7976,2333054
Canada,British Columbia,49.2734,-123.1216,2313328
United Kingdom,Birmingham,52.4750,-1.9200,2285000
Colombia,Valle del Cauca,3.4000,-76.5000,2254000
Italy,Campania,40.8400,14.2450,2250000
Japan,Miyagi,38.2871,141.0217,2250000
United Kingdom,Manchester,53.5004,-2.2480,2230000
Mexico,Puebla,19.0500,-98.2000,2195000
Libya,Ţarābulus,32.8925,13.1800,2189000
Uzbekistan,Toshkent,41.3117,69.2949,2184000
Cuba,La Habana,23.1320,-82.3642,2174000
China,Sichuan,30.7804,106.1300,2174000
United States,Maryland,39.3051,-76.6144,2170504.0
China,Guangxi,22.8200,108.3200,2167000
Brazil,Pará,-1.4500,-48.4800,2167000
India,Bihār,25.6250,85.1300,2158000
Dominican Republic,Ozama,18.4701,-69.9001,2154000
China,Xinjiang,43.8050,87.5750,2151000
China,Shandong,34.8800,117.5700,2145000
Azerbaijan,Bakı,40.3953,49.8622,2122300
Ghana,Greater Accra,5.5500,-0.2167,2121000
China,Shandong,37.5304,121.4000,2116000
Indonesia,Sumatera Utara,3.5800,98.6500,2115000
Bolivia,Santa Cruz,-17.7539,-63.2260,2102998
China,Jiangsu,34.2800,117.1800,2091000
United States,California,33.9381,-117.3948,2084749.0
China,Shandong,35.0800,118.3300,2082000
United States,Missouri,38.6358,-90.2451,2078283.0
United States,Nevada,36.2333,-115.2654,2073045.0
Venezuela,Zulia,10.7300,-71.6600,2072000
Kuwait,Al ‘Āşimah,29.3697,47.9783,2063000
Saudi Arabia,Ash Sharqīyah,26.4282,50.0997,2054710
United States,Oregon,45.5371,-122.6500,2052796.0
China,Hainan,20.0500,110.3200,2046189
Japan,Hiroshima,34.3878,132.4429,2045000
China,Inner Mongolia,40.6522,109.8220,2036000
China,Anhui,31.8500,117.2800,2035000
India,Madhya Pradesh,22.7151,75.8650,2026000
Brazil,Goiás,-16.7200,-49.3000,2022000
Yemen,Amānat al ‘Āşimah,15.3547,44.2066,2008000
United States,Texas,29.4658,-98.5254,2002530.0
Haiti,Ouest,18.5410,-72.3360,1998000
Vietnam,Hải Phòng,20.8300,106.6801,1969000
China,Anhui,33.6361,116.9789,1964000
China,Henan,33.0004,112.5300,1944000
Romania,Bucureşti,44.4334,26.0999,1942000
China,Zhejiang,29.8800,121.5500,1923000
Cameroon,Littoral,4.0604,9.7100,1906000
China,Hebei,39.6243,118.1944,1879000
Taiwan,Tainan,23.0000,120.2000,1876312
China,Shanxi,40.0800,113.3000,1873000
Paraguay,Asunción,-25.2964,-57.6415,1870000
Pakistan,Khyber Pakhtunkhwa,34.7500,72.3500,1860310
Australia,Queensland,-27.4550,153.0351,1860000
Pakistan,Punjab,33.6000,73.0400,1858000
United States,California,38.5667,-121.4683,1854698.0
Lebanon,Beyrouth,33.8720,35.5097,1846000
United States,California,37.3021,-121.8489,1821899.0
Belarus,Minsk,53.9000,27.5666,1805000
Japan,Kyōto,35.0300,135.7500,1805000
Colombia,Atlántico,10.9600,-74.8000,1798000
United States,Florida,28.4772,-81.3369,1776841.0
China,Jiangsu,34.1299,118.7734,1770000
Venezuela,Carabobo,10.2300,-67.9800,1770000
Germany,Hamburg,53.5500,10.0000,1757000
India,Gujarāt,22.3100,73.1800,1756000
Brazil,Amazonas,-3.1000,-60.0000,1753000
China,Henan,34.4504,115.6500,1753000
China,Jiangsu,31.5800,120.3000,1749000
Indonesia,Sumatera Selatan,-2.9800,104.7500,1749000
Belgium,Brussels-Capital Region,50.8333,4.3333,1743000
Germany,North Rhine-Westphalia,51.4500,7.0166,1742135
United States,Ohio,41.4767,-81.6805,1730363.0
India,Madhya Pradesh,23.2500,77.4100,1727000
China,Inner Mongolia,40.8200,111.6600,1726000
United States,Pennsylvania,40.4396,-79.9763,1715297.0
China,Henan,34.6800,112.4701,1715000
Brazil,São Paulo,-23.9537,-46.3329,1709000
China,Hubei,30.6501,113.1600,1708000
Poland,Mazowieckie,52.2500,21.0000,1707000
Morocco,Rabat-Salé-Kénitra,34.0253,-6.8361,1705000
Brazil,Espírito Santo,-20.3240,-40.3660,1704000
Ecuador,Pichincha,-0.2150,-78.5001,1701000
Madagascar,Antananarivo,-18.9166,47.5166,1697000
India,Tamil Nādu ,11.0000,76.9500,1696000
China,Heilongjiang,46.5800,125.0000,1693000
China,Anhui,31.7503,116.4800,1690000
China,Chongqing,30.8200,108.4000,1680000
Hungary,Budapest,47.5000,19.0833,1679000
Italy,Piedmont,45.0704,7.6700,1652000
China,Jiangsu,31.3005,120.6200,1650000
India,Punjab,30.9278,75.8723,1649000
United States,Ohio,39.1412,-84.5060,1648254.0
Ghana,Ashanti,6.6900,-1.6300,1646000
United States,New York,40.7834,-73.9662,1643734
China,Heilongjiang,47.3450,123.9900,1641000
China,Liaoning,41.1150,122.9400,1639000
United States,Texas,30.3006,-97.7517,1638716.0
Taiwan,Taoyuan,24.9650,121.2168,1632616
China,Hebei,36.5800,114.4800,1631000
China,Shandong,36.2000,117.1201,1629000
Iran,Eşfahān,32.7000,51.7000,1628000
United States,Missouri,39.1239,-94.5541,1615621.0
Cameroon,Centre,3.8667,11.5167,1611000
China,Guangdong,23.3700,116.6700,1601000
India,Uttar Pradesh,27.1704,78.0150,1592000
China,Guangdong,21.2000,110.3800,1590000
Bolivia,La Paz,-16.4980,-68.1500,1590000
India,Mahārāshtra,19.2502,73.1602,1576614
Nigeria,Federal Capital Territory,9.0833,7.5333,1576000
Zimbabwe,Harare,-17.8178,31.0447,1572000
United States,Indiana,39.7771,-86.1458,1564699.0
China,Hubei,30.3704,113.4400,1556000
Bangladesh,Khulna,22.8400,89.5600,1553000
China,Shandong,36.7204,119.1001,1553000
Mexico,Baja California,32.5000,-117.0800,1553000
Dominican Republic,Cibao Norte,19.5000,-70.6700,1550753
China,Henan,32.1304,114.0700,1541000
China,Sichuan,28.8800,105.3800,1537000
Australia,Western Australia,-31.9550,115.8400,1532000
Mexico,México,19.3304,-99.6700,1531000
India,Andhra Pradesh,17.7300,83.3050,1529000
United Kingdom,Leeds,53.8300,-1.5800,1529000
Japan,Hyōgo,34.6800,135.1700,1528478
United States,Ohio,39.9860,-82.9851,1528314.0
Pakistan,Punjab,30.2000,71.4550,1522000
India,Kerala,10.0150,76.2239,1519000
Uruguay,Montevideo,-34.8580,-56.1711,1513000
Pakistan,Punjab,32.1604,74.1850,1513000
Brazil,Rio de Janeiro,-22.9000,-43.1000,1500513
China,Jiangxi,25.9200,114.9500,1500000
Italy,Tuscany,43.7800,11.2500,1500000
China,Guangxi,24.2800,109.2500,1497000
Mali,Bamako,12.6500,-8.0000,1494000
Guinea,Conakry,9.5315,-13.6802,1494000
Turkey,Bursa,40.2000,29.0700,1492000
Mexico,Guanajuato,21.1500,-101.7000,1488000
United States,Virginia,36.7335,-76.0435,1480383.0
India,Mahārāshtra,20.0004,73.7800,1473000
China,Liaoning,41.8654,123.8700,1470000
China,Hunan,29.0300,111.6800,1469000
"Korea, South",Daejeon,36.3355,127.4250,1468000
United States,North Carolina,35.2079,-80.8304,1467362.0
Cambodia,Phnom Penh,11.5500,104.9166,1466000
China,Sichuan,29.5804,105.0500,1466000
China,Fujian,24.9000,118.5800,1463000
Ukraine,Kharkivs’ka Oblast’,50.0000,36.2500,1461000
Pakistan,Sindh,25.3800,68.3750,1459000
United States,New York,40.8501,-73.8662,1455720
Togo,Maritime,6.1319,1.2228,1452000
Argentina,Córdoba,-31.4000,-64.1823,1452000
China,Anhui,32.6300,116.9800,1451000
Qatar,Ad Dawḩah,25.2866,51.5330,1450000
Malaysia,Kuala Lumpur ,3.1667,101.7000,1448000
Mozambique,Maputo,-25.9553,32.5892,1446000
Nigeria,Kaduna,10.5200,7.4400,1442000
"Korea, South",Gwangju,35.1710,126.9104,1440000
Japan,Kanagawa,35.5300,139.7050,1437266
El Salvador,San Salvador,13.7100,-89.2030,1433000
China,Sichuan,30.5333,105.5333,1425000
France,Auvergne-Rhône-Alpes,45.7700,4.8300,1423000
Iran,Alborz,35.8004,50.9700,1423000
Uganda,Kampala,0.3167,32.5833,1420000
Iran,Āz̄arbāyjān-e Sharqī,38.0863,46.3012,1413000
Netherlands,Zuid-Holland,52.0800,4.2700,1406000
Philippines,Davao,7.1100,125.6300,1402000
France,Provence-Alpes-Côte d’Azur,43.2900,5.3750,1400000
India,Uttar Pradesh,29.0004,77.7000,1398000
China,Sichuan,31.4700,104.7700,1396000
Indonesia,Jawa Tengah,-6.9666,110.4200,1396000
India,Haryāna,28.4333,77.3167,1394000
Russia,Novosibirskaya Oblast’,55.0300,82.9600,1389000
Saudi Arabia,Makkah al Mukarramah,21.4300,39.8200,1385000
United Arab Emirates,Dubayy,25.2300,55.2800,1379000
United States,Wisconsin,43.0642,-87.9673,1377808.0
New Zealand,Auckland,-36.8481,174.7630,1377200
China,Anhui,31.7304,118.4800,1366302
Congo (Brazzaville),Brazzaville,-4.2592,15.2847,1355000
China,Hunan,28.6004,112.3300,1352000
India,Uttar Pradesh,25.3300,83.0000,1352000
Congo (Kinshasa),Haut-Katanga,-11.6800,27.4800,1352000
Mexico,Chihuahua,31.6904,-106.4900,1343000
India,Uttar Pradesh,28.6604,77.4084,1341000
South Africa,Gauteng,-25.7069,28.2294,1338000
China,Shandong,35.2300,115.4500,1338000
Portugal,Porto,41.1500,-8.6200,1337000
India,West Bengal,23.6833,86.9833,1328000
Zambia,Lusaka,-15.4166,28.2833,1328000
China,Jiangsu,31.7800,119.9700,1327000
Iraq,Nīnawá,36.3450,43.1450,1316000
Russia,Sverdlovskaya Oblast’,56.8500,60.6000,1313000
Pakistan,Khyber Pakhtunkhwa,34.0050,71.5350,1303000
Burma,Mandalay,21.9700,96.0850,1300000
India,Jharkhand,22.7875,86.1975,1300000
Congo (Kinshasa),Kasaï Oriental,-6.1500,23.6000,1295000
India,Tamil Nādu ,9.9200,78.1200,1294000
Turkey,Adana,36.9950,35.3200,1293000
United Kingdom,Sheffield,53.3667,-1.5000,1292900
India,Madhya Pradesh,23.1751,79.9551,1285000
Costa Rica,San José,9.9350,-84.0841,1284000
Panama,Panamá,8.9680,-79.5330,1281000
Russia,Nizhegorodskaya Oblast’,56.3330,44.0001,1278000
China,Inner Mongolia,42.2700,118.9500,1277000
Germany,North Rhine-Westphalia,51.4300,6.7500,1276757
Germany,Bavaria,48.1299,11.5750,1275000
China,Jiangsu,33.5800,119.0300,1264000
Sweden,Stockholm,59.3508,18.0973,1264000
Indonesia,Sulawesi Selatan,-5.1400,119.4320,1262000
India,Gujarāt,22.3100,70.8000,1260000
India,Jharkhand,23.8004,86.4200,1246000
China,Heilongjiang,44.5750,129.5900,1244000
Switzerland,Genève,46.2100,6.1400,1240000
Iran,Fārs,29.6300,52.5700,1240000
China,Zhejiang,30.8704,120.1000,1231000
China,Gansu,34.6000,105.9200,1225000
China,Guizhou,26.5944,104.8333,1221000
Germany,North Rhine-Westphalia,51.2204,6.7800,1220000
China,Guangdong,21.9204,110.8700,1217715
Spain,Andalusia,37.4050,-5.9800,1212045
India,Punjab,31.6400,74.8700,1212000
Brazil,Espírito Santo,-20.3676,-40.3180,1209091
Brazil,Amapá,3.2167,-51.2167,1209091
Kazakhstan,Almaty,43.3250,76.9150,1209000
United States,Rhode Island,41.8230,-71.4187,1206642.0
India,Telangana,18.0100,79.5800,1203853
Argentina,Santa Fe,-32.9511,-60.6663,1203000
India,Uttar Pradesh,25.4550,81.8400,1201000
Nigeria,Edo,6.3405,5.6200,1190000
China,Shandong,35.4004,116.5500,1186000
Brazil,Alagoas,-9.6200,-35.7300,1186000
Bulgaria,Sofia-Grad,42.6833,23.3167,1185000
Pakistan,Khyber Pakhtunkhwa,34.1495,73.1995,1183647
Libya,Banghāzī,32.1167,20.0667,1180000
Indonesia,Jawa Tengah,-7.7188,109.0154,1174964
Czechia,"Praha, Hlavní Město",50.0833,14.4660,1162000
United Kingdom,Glasgow City,55.8744,-4.2507,1160000
China,Sichuan,29.5671,103.7333,1157000
United States,Florida,30.3322,-81.6749,1156291.0
Burkina Faso,Centre,12.3703,-1.5247,1149000
Canada,Ontario,45.4167,-75.7000,1145000
Australia,South Australia,-34.9350,138.6000,1145000
China,Jiangxi,28.4704,117.9700,1144577
Mexico,Coahuila de Zaragoza,25.5701,-103.4200,1144000
India,Jammu and Kashmīr,34.1000,74.8150,1140000
India,Andhra Pradesh,16.5200,80.6300,1137000
Russia,Samarskaya Oblast’,53.1950,50.1513,1137000
Russia,Omskaya Oblast’,54.9900,73.4000,1135000
Australia,New South Wales,-32.8453,151.8150,1134616
China,Guangxi,22.6300,110.1500,1127000
"Korea, North",,38.7669,125.4524,1127000
China,Shaanxi,34.3456,108.7147,1126000
Philippines,Cagayan de Oro,8.4508,124.6853,1121561
Vietnam,Cần Thơ,10.0500,105.7700,1121000
Venezuela,Lara,10.0500,-69.3000,1116000
Finland,Uusimaa,60.1756,24.9341,1115000
Russia,Tatarstan,55.7499,49.1263,1115000
India,Mahārāshtra,19.8957,75.3203,1113000
Canada,Alberta,51.0830,-114.0800,1110000
Mexico,México,19.4100,-99.0300,1109363
Switzerland,Zürich,47.3800,8.5500,1108000
China,Hebei,38.8704,115.4800,1107000
China,Sichuan,29.4000,104.7800,1105000
United Arab Emirates,Ash Shāriqah,25.3714,55.4065,1103027
Armenia,Yerevan,40.1812,44.5136,1102000
Somalia,Banaadir,2.0667,45.3667,1100000
Georgia,Tbilisi,41.7250,44.7908,1100000
China,Shaanxi,32.6800,109.0200,1100000
Angola,Huambo,-12.7500,15.7600,1100000
Nigeria,Ondo,7.5304,5.7600,1099931
Serbia,Beograd,44.8186,20.4680,1099000
United States,Utah,40.7774,-111.9300,1098400.0
India,Chhattīsgarh,21.2167,81.4333,1097000
China,Zhejiang,29.1200,119.6500,1092852
Russia,Chelyabinskaya Oblast’,55.1550,61.4387,1091000
Brazil,Rio Grande do Norte,-5.7800,-35.2400,1088000
Tajikistan,Dushanbe,38.5600,68.7739,1086244
Denmark,Hovedstaden,55.6786,12.5635,1085000
"Korea, South",Gyeongnam,35.2191,128.5836,1081499
China,Hunan,27.8300,113.1500,1080000
"Korea, South",Gyeonggi,37.2578,127.0109,1078000
United States,Tennessee,36.1715,-86.7843,1076645.0
South Africa,Gauteng,-26.6496,27.9600,1074000
China,Hubei,32.0200,112.1300,1069000
United States,Tennessee,35.1046,-89.9773,1068873.0
"Korea, South",Ulsan,35.5467,129.3170,1061000
Jordan,Al ‘Āşimah,31.9500,35.9333,1060000
China,Shandong,35.9900,119.3801,1060000
United States,Virginia,37.5295,-77.4756,1059907.0
Ireland,Dublin,53.3331,-6.2489,1059000
Canada,Alberta,53.5500,-113.5000,1058000
India,Mahārāshtra,17.6704,75.9000,1057000
Russia,Rostovskaya Oblast’,47.2346,39.7127,1052000
Ukraine,Dnipropetrovs’ka Oblast’,48.4800,35.0000,1050000
China,Qinghai,36.6200,101.7700,1048000
China,Hebei,40.8300,114.9300,1046000
France,Hauts-de-France,50.6500,3.0800,1044000
India,Jharkhand,23.3700,85.3300,1044000
Turkey,Gaziantep,37.0750,37.3850,1044000
Liberia,Montserrado,6.3106,-10.8048,1041000
Brazil,Maranhão,-2.5160,-44.2660,1038000
Netherlands,Noord-Holland,52.3500,4.9166,1031000
Israel,,31.7784,35.2066,1029300
United States,Louisiana,30.0687,-89.9288,1029123.0
Guatemala,Guatemala,14.6211,-90.5270,1024000
China,Guangdong,22.2769,113.5678,1023000
Brazil,Santa Catarina,-27.5800,-48.5200,1023000
South Africa,Eastern Cape,-33.9700,25.6000,1021000
China,Heilongjiang,46.8300,130.3500,1020000
Nigeria,Rivers,4.8100,7.0100,1020000
United States,North Carolina,35.8324,-78.6438,1018336.0
Russia,Bashkortostan,54.7900,56.0400,1018000
China,Hunan,26.8800,112.5900,1016000
China,Liaoning,41.3304,123.7500,1012000
United States,Kentucky,38.1663,-85.6485,1011696.0
Israel,Haifa,32.8204,34.9800,1011000
Saudi Arabia,Al Madīnah al Munawwarah,24.5000,39.5800,1010000
Colombia,Santander,7.1301,-73.1259,1009000
Venezuela,Aragua,10.2469,-67.5958,1007000
Netherlands,Zuid-Holland,51.9200,4.4800,1005000
Syria,Ḩimş,34.7300,36.7200,1005000
Germany,North Rhine-Westphalia,50.9300,6.9500,1004000
China,Hebei,39.9304,119.6200,1003000
Morocco,Fès-Meknès,34.0546,-5.0004,1002000
Chad,Ville de N’Djaména,12.1131,15.0491,989000
Honduras,Francisco Morazán,14.1020,-87.2175,946000
Jamaica,Kingston,17.9771,-76.7674,937700
Burma,Nay Pyi Taw,19.7666,96.1186,930000
Djibouti,Djibouti,11.5950,43.1480,923000
Nicaragua,Managua,12.1530,-86.2685,920000
Niger,Niamey,13.5167,2.1167,915000
Albania,Tiranë,41.3275,19.8189,895350
Nepal,Bāgmatī,27.7167,85.3166,895000
Mongolia,Ulaanbaatar,47.9167,106.9166,885000
Rwanda,Kigali,-1.9536,30.0605,860000
Kyrgyzstan,Bishkek,42.8731,74.5852,837000
Norway,Oslo,59.9167,10.7500,835000
Central African Republic,Bangui,4.3666,18.5583,831925
Sierra Leone,Western Area,8.4700,-13.2342,827000
Pakistan,Islāmābād,33.7000,73.1666,780000
Benin,Littoral,6.4000,2.5200,762000
Laos,Viangchan,17.9667,102.6000,754000
Latvia,Rīga,56.9500,24.1000,742572
Mauritania,,18.0864,-15.9753,742144
Oman,Masqaţ,23.6133,58.5933,734697
Turkmenistan,,37.9500,58.3833,727700
Croatia,"Zagreb, Grad",45.8000,16.0000,722526
Bosnia And Herzegovina,"Bosnia and Herzegovina, Federation of",43.8500,18.3830,696731
Moldova,Chişinău,47.0050,28.8577,688134
Malawi,Lilongwe,-13.9833,33.7833,646750
Eritrea,Ma’ākel,15.3333,38.9333,620802
United Arab Emirates,Abū Z̧aby,24.4667,54.3666,603492
Mauritius,Port Louis,-20.1666,57.5000,595491
Gabon,Estuaire,0.3854,9.4580,578156
Bahrain,Al ‘Āşimah,26.2361,50.5831,563920
Lithuania,Vilniaus Miestas,54.6834,25.3166,542366
Macedonia,Skopje,42.0000,21.4335,494087
South Africa,Free State,-29.1200,26.2299,463064
Slovakia,Bratislavský,48.1500,17.1170,423737
Guinea-Bissau,Bissau,11.8650,-15.5984,403339
Estonia,Harjumaa,59.4339,24.7280,394024
New Zealand,Wellington,-41.3000,174.7833,393400
Malta,Valletta,35.8997,14.5147,368250
Lesotho,Maseru,-29.3167,27.4833,361324
Kazakhstan,Astana,51.1811,71.4278,345604
Burundi,Bujumbura Mairie,-3.3761,29.3600,331700
Australia,Australian Capital Territory,-35.2830,149.1290,327700
India,Delhi,28.6000,77.2000,317797
Slovenia,Ljubljana,46.0553,14.5150,314807
Benin,Ouémé,6.4833,2.6166,300000
Brunei,Brunei and Muara,4.8833,114.9333,296500
Trinidad And Tobago,Port of Spain,10.6520,-61.5170,294934
Papua New Guinea,National Capital,-9.4647,147.1925,283733
Switzerland,Bern,46.9167,7.4670,275329
